iso3,region,subregion,intermediate_region
SWZ,Africa,Sub-Saharan Africa,Southern Africa
ETH,Africa,Sub-Saharan Africa,Eastern Africa
FLK,Americas,Latin America and the Caribbean,South America
FRO,Europe,Northern Europe,
FJI,Oceania,Melanesia,
FIN,Europe,Northern Europe,
FRA,Europe,Western Europe,
GUF,Americas,Latin America and the Caribbean,South America
PYF,Oceania,Polynesia,
ATF,Africa,Sub-Saharan Africa,Eastern Africa
GAB,Africa,Sub-Saharan Africa,Middle Africa
GMB,Africa,Sub-Saharan Africa,Western Africa
GEO,Asia,Western Asia,
DEU,Europe,Western Europe,
GHA,Africa,Sub-Saharan Africa,Western Africa
GIB,Europe,Southern Europe,
GRC,Europe,Southern Europe,
GRL,Americas,Northern America,
GRD,Americas,Latin America and the Caribbean,Caribbean
GLP,Americas,Latin America and the Caribbean,Caribbean
GUM,Oceania,Micronesia,
GTM,Americas,Latin America and the Caribbean,Central America
GGY,Europe,Northern Europe,
GIN,Africa,Sub-Saharan Africa,Western Africa
GNB,Africa,Sub-Saharan Africa,Western Africa
GUY,Americas,Latin America and the Caribbean,South America
HTI,Americas,Latin America and the Caribbean,Caribbean
HMD,Oceania,Australia and New Zealand,
VAT,Europe,Southern Europe,
HND,Americas,Latin America and the Caribbean,Central America
HKG,Asia,Eastern Asia,
HUN,Europe,Eastern Europe,
ISL,Europe,Northern Europe,
IND,Asia,Southern Asia,
IDN,Asia,South-eastern Asia,
IRN,Asia,Southern Asia,
IRQ,Asia,Western Asia,
IRL,Europe,Northern Europe,
IMN,Europe,Northern Europe,
ISR,Asia,Western Asia,
ITA,Europe,Southern Europe,
JAM,Americas,Latin America and the Caribbean,Caribbean
JPN,Asia,Eastern Asia,
JEY,Europe,Northern Europe,
JOR,Asia,Western Asia,
KAZ,Asia,Central Asia,
KEN,Africa,Sub-Saharan Africa,Eastern Africa
KIR,Oceania,Micronesia,
PRK,Asia,Eastern Asia,
KOR,Asia,Eastern Asia,
KWT,Asia,Western Asia,
KGZ,Asia,Central Asia,
LAO,Asia,South-eastern Asia,
LVA,Europe,Northern Europe,
LBN,Asia,Western Asia,
LSO,Africa,Sub-Saharan Africa,Southern Africa
LBR,Africa,Sub-Saharan Africa,Western Africa
LBY,Africa,Northern Africa,
LIE,Europe,Western Europe,
LTU,Europe,Northern Europe,
LUX,Europe,Western Europe,
MAC,Asia,Eastern Asia,
MDG,Africa,Sub-Saharan Africa,Eastern Africa
MWI,Africa,Sub-Saharan Africa,Eastern Africa
MYS,Asia,South-eastern Asia,
MDV,Asia,Southern Asia,
MLI,Africa,Sub-Saharan Africa,Western Africa
MLT,Europe,Southern Europe,
MHL,Oceania,Micronesia,
MTQ,Americas,Latin America and the Caribbean,Caribbean
MRT,Africa,Sub-Saharan Africa,Western Africa
MUS,Africa,Sub-Saharan Africa,Eastern Africa
MYT,Africa,Sub-Saharan Africa,Eastern Africa
MEX,Americas,Latin America and the Caribbean,Central America
FSM,Oceania,Micronesia,
MDA,Europe,Eastern Europe,
MCO,Europe,Western Europe,
MNG,Asia,Eastern Asia,
MNE,Europe,Southern Europe,
MSR,Americas,Latin America and the Caribbean,Caribbean
MAR,Africa,Northern Africa,
MOZ,Africa,Sub-Saharan Africa,Eastern Africa
MMR,Asia,South-eastern Asia,
NAM,Africa,Sub-Saharan Africa,Southern Africa
NRU,Oceania,Micronesia,
NPL,Asia,Southern Asia,
NLD,Europe,Western Europe,
NCL,Oceania,Melanesia,
NZL,Oceania,Australia and New Zealand,
NIC,Americas,Latin America and the Caribbean,Central America
NER,Africa,Sub-Saharan Africa,Western Africa
NGA,Africa,Sub-Saharan Africa,Western Africa
NIU,Oceania,Polynesia,
NFK,Oceania,Australia and New Zealand,
MKD,Europe,Southern Europe,
MNP,Oceania,Micronesia,
NOR,Europe,Northern Europe,
OMN,Asia,Western Asia,
PAK,Asia,Southern Asia,
PLW,Oceania,Micronesia,
PSE,Asia,Western Asia,
PAN,Americas,Latin America and the Caribbean,Central America
PNG,Oceania,Melanesia,
PRY,Americas,Latin America and the Caribbean,South America
PER,Americas,Latin America and the Caribbean,South America
PHL,Asia,South-eastern Asia,
PCN,Oceania,Polynesia,
POL,Europe,Eastern Europe,
PRT,Europe,Southern Europe,
PRI,Americas,Latin America and the Caribbean,Caribbean
QAT,Asia,Western Asia,
REU,Africa,Sub-Saharan Africa,Eastern Africa
ROU,Europe,Eastern Europe,
RUS,Europe,Eastern Europe,
RWA,Africa,Sub-Saharan Africa,Eastern Africa
BLM,Americas,Latin America and the Caribbean,Caribbean
SHN,Africa,Sub-Saharan Africa,Western Africa
KNA,Americas,Latin America and the Caribbean,Caribbean
LCA,Americas,Latin America and the Caribbean,Caribbean
MAF,Americas,Latin America and the Caribbean,Caribbean
SPM,Americas,Northern America,
VCT,Americas,Latin America and the Caribbean,Caribbean
WSM,Oceania,Polynesia,
SMR,Europe,Southern Europe,
STP,Africa,Sub-Saharan Africa,Middle Africa
SAU,Asia,Western Asia,
SEN,Africa,Sub-Saharan Africa,Western Africa
SRB,Europe,Southern Europe,
SYC,Africa,Sub-Saharan Africa,Eastern Africa
SLE,Africa,Sub-Saharan Africa,Western Africa
SGP,Asia,South-eastern Asia,
SXM,Americas,Latin America and the Caribbean,Caribbean
SVK,Europe,Eastern Europe,
SVN,Europe,Southern Europe,
SLB,Oceania,Melanesia,
SOM,Africa,Sub-Saharan Africa,Eastern Africa
ZAF,Africa,Sub-Saharan Africa,Southern Africa
SGS,Americas,Latin America and the Caribbean,South America
SSD,Africa,Sub-Saharan Africa,Eastern Africa
ESP,Europe,Southern Europe,
LKA,Asia,Southern Asia,
SDN,Africa,Northern Africa,
SUR,Americas,Latin America and the Caribbean,South America
SJM,Europe,Northern Europe,
SWE,Europe,Northern Europe,
CHE,Europe,Western Europe,
SYR,Asia,Western Asia,
TWN,,,
TJK,Asia,Central Asia,
TZA,Africa,Sub-Saharan Africa,Eastern Africa
THA,Asia,South-eastern Asia,
TLS,Asia,South-eastern Asia,
TGO,Africa,Sub-Saharan Africa,Western Africa
TKL,Oceania,Polynesia,
TON,Oceania,Polynesia,
TTO,Americas,Latin America and the Caribbean,Caribbean
TUN,Africa,Northern Africa,
TUR,Asia,Western Asia,
TKM,Asia,Central Asia,
TCA,Americas,Latin America and the Caribbean,Caribbean
TUV,Oceania,Polynesia,
UGA,Africa,Sub-Saharan Africa,Eastern Africa
UKR,Europe,Eastern Europe,
ARE,Asia,Western Asia,
GBR,Europe,Northern Europe,
USA,Americas,Northern America,
UMI,Oceania,Micronesia,
URY,Americas,Latin America and the Caribbean,South America
UZB,Asia,Central Asia,
VUT,Oceania,Melanesia,
VEN,Americas,Latin America and the Caribbean,South America
VNM,Asia,South-eastern Asia,
VGB,Americas,Latin America and the Caribbean,Caribbean
VIR,Americas,Latin America and the Caribbean,Caribbean
WLF,Oceania,Polynesia,
ESH,Africa,Northern Africa,
YEM,Asia,Western Asia,
ZMB,Africa,Sub-Saharan Africa,Eastern Africa
ZWE,Africa,Sub-Saharan Africa,Eastern Africa
