country,baseline_co2_t,alt_co2_t,baseline_rank,alt_rank
ESP,67242605.30268028,92012114.35617322,9.0,9.0
EST,1071996.743335539,1904677.9074381941,101.0,95.0
FIN,2247626.468418379,4041770.6691496484,81.0,78.0
FJI,994380.7972904445,1200502.2418946752,105.0,113.0
FLK,53892.74861060815,65605.26229704403,168.0,169.0
FRA,17514373.729063272,28070395.070826393,31.0,29.0
FRO,445522.3654277186,618707.3998222589,134.0,133.0
FSM,199533.58427398014,287791.0507689764,145.0,144.0
GAB,1307396.8260259726,2674525.063464685,93.0,86.0
GBR,21999668.221802074,37022860.51862929,23.0,23.0
GEO,593552.4484539882,686241.8754404864,120.0,128.0
GHA,3937728.605126145,7446142.440055029,67.0,59.0
GIB,14961311.12123994,19333641.123431,37.0,39.0
GIN,5623671.900656934,10542529.380480705,54.0,50.0
GLP,987350.2929965855,1152128.7992845075,106.0,116.0
GMB,255984.22058779205,338805.55052977556,142.0,142.0
GNB,73407.01193989447,104399.53242152448,163.0,162.0
GNQ,1482572.3305575966,3483902.8876432525,88.0,82.0
GRC,11571318.829184126,17291584.432260364,42.0,41.0
GRD,74810.25589979521,85623.53313543559,162.0,165.0
GRL,241337.32414194962,485832.79731468204,144.0,136.0
GTM,4419767.252356816,5963005.250556031,62.0,66.0
GUF,118903.74637608955,145878.9870020431,154.0,157.0
GUM,953881.8116538574,1049799.5998030326,107.0,117.0
GUY,487673.09451094613,625903.3447871906,132.0,131.0
HKG,80564.25033149219,104793.08691954367,161.0,161.0
HND,1582028.61388865,2168059.9695125245,87.0,92.0
HRV,834995.5272373223,1485988.791689375,116.0,106.0
HTI,480156.92615409894,689868.8942197174,133.0,126.0
IDN,48841688.716343015,69075219.83053337,13.0,13.0
IMN,26.71182065083429,26.71182065083429,194.0,194.0
IND,66312230.633977994,103954484.00778043,10.0,8.0
IRL,1714818.5755659293,2924876.623190487,86.0,84.0
IRN,2764529.7809013496,4465751.436753401,76.0,76.0
IRQ,5969548.445679835,10874562.224823106,51.0,47.0
ISL,887285.2056681173,1446025.0324392107,111.0,108.0
ISR,4176943.6791313156,5989393.259949392,65.0,65.0
ITA,20562639.202099536,31731994.250185806,28.0,26.0
JAM,5091398.1426798515,7076431.42960145,59.0,63.0
JOR,1441603.2069857635,2485741.729896513,89.0,87.0
JPN,113487673.44040154,160227508.52118436,6.0,6.0
KAZ,10454.704863951938,13678.10032902488,182.0,182.0
KEN,3786472.086940481,4886633.990542782,69.0,72.0
KHM,607166.3968030936,1012395.9081519558,119.0,118.0
KIR,169786.7774462841,206276.32782040967,147.0,148.0
KNA,52406.497960700246,67817.93871192967,169.0,167.0
KOR,99539520.09316419,143020451.0766674,7.0,7.0
KWT,5668803.98972277,10654150.00560971,53.0,49.0
LBN,1205003.2548264267,1638741.9118284287,97.0,101.0
LBR,539964.1952864265,872770.9970597903,127.0,120.0
LBY,2001171.3061626551,2869972.353580483,83.0,85.0
LCA,319631.8581832709,379944.8906977393,138.0,139.0
LKA,18085413.708904188,25505809.845433693,29.0,30.0
LTU,1232121.2882899095,2131363.3791567194,95.0,93.0
LVA,809192.2987283892,1601325.2305206463,118.0,102.0
MAF,88261.85012871846,111585.5457243671,159.0,160.0
MAR,16915029.813925628,22212286.91031387,32.0,35.0
MDA,137.12980647793643,143.29748302164393,192.0,192.0
MDG,906700.5356129152,1255407.7008684156,110.0,110.0
MDV,593021.6232806984,754929.6776201096,121.0,123.0
MEX,35576438.52063895,43696788.37173305,16.0,20.0
MHL,300383.57729111804,356692.5090309161,140.0,141.0
MLT,9966772.492052687,14324347.398898918,45.0,44.0
MMR,1313277.0201575684,1794785.601554401,92.0,97.0
MNE,105960.23406476075,178900.76564618314,158.0,153.0
MNP,155586.95842402324,183069.44475221698,150.0,151.0
MOZ,5506828.793475501,7423365.123729458,56.0,60.0
MRT,1322239.5309365585,1772579.9264939225,91.0,98.0
MSR,656.7807628449133,772.9241011329748,189.0,189.0
MTQ,528028.5200828937,636756.4716570611,128.0,130.0
MUS,11577773.870805604,14631076.415975748,41.0,43.0
MYS,237622885.44679767,314397808.0275984,2.0,2.0
MYT,118868.850632282,180484.63565451175,155.0,152.0
NAM,3097591.3922566418,4682872.782810079,73.0,73.0
NCL,1875988.3731264314,2116443.9169472544,84.0,94.0
NGA,10464443.626044905,22695350.052675802,44.0,34.0
NIC,578639.712742808,767619.9766942668,123.0,122.0
NIU,6478.619625615862,8546.068271162183,183.0,184.0
NLD,27416098.642362997,47728612.42944683,20.0,18.0
NOR,4887367.706806835,8285762.194466319,60.0,57.0
NRU,24936.29647851716,29356.07296377989,176.0,178.0
NZL,13750331.910729196,18198025.0549134,39.0,40.0
OMN,12821164.56613534,22028995.096242957,40.0,36.0
PAK,6319011.857891238,9193947.48205556,50.0,54.0
PAN,13957887.112462025,17243306.755918592,38.0,42.0
PER,17628833.777690023,20956291.551095717,30.0,38.0
PHL,15328064.977495706,21627898.845496196,36.0,37.0
PLW,57755.997051063314,93197.55336292044,166.0,163.0
PNG,3803962.2861461337,5821255.533405084,68.0,68.0
POL,2882150.0907065426,5174387.856661476,75.0,69.0
PRI,2677458.6746177557,3162819.257160171,79.0,83.0
PRK,5767.086012402496,6021.794372257223,185.0,185.0
PRT,10730721.75294531,14313342.979589054,43.0,45.0
PRY,3109.8684017901323,3109.8684017901323,188.0,188.0
PYF,1085168.73477651,1252600.9164713607,99.0,111.0
QAT,20635810.14439734,42802838.316920966,27.0,21.0
REU,1862053.23971585,2372340.7231468973,85.0,88.0
ROU,1211994.168514247,1734836.313360638,96.0,99.0
RUS,27489693.639400035,45125152.470451206,19.0,19.0
SAU,29490212.454424154,50395672.87523577,18.0,15.0
SDN,841438.7612066645,1192074.5477899015,115.0,114.0
SEN,3200163.1996909073,4242959.90372412,72.0,77.0
SGP,67515582.67927428,84196546.39339906,8.0,11.0
SGS,4616.058940405011,5068.120009287815,186.0,187.0
SHN,54939.828832501924,67379.58382566714,167.0,168.0
SJM,15196.523400652433,22202.759633447993,181.0,181.0
SLB,574433.494701476,655474.696405439,124.0,129.0
SLE,848087.846090748,1461691.3523021836,114.0,107.0
SLV,869674.3624850424,1160412.7180591363,113.0,115.0
SOM,492053.06211029016,687670.2214617128,130.0,127.0
SPM,148.88030127374913,279.92241138127747,191.0,191.0
STP,21182.332183325903,48205.04214788254,179.0,173.0
SUR,269443.928019213,335209.59771394194,141.0,143.0
SVN,1006287.3577728504,1824852.759810028,104.0,96.0
SWE,4862974.350094237,8445507.824021958,61.0,56.0
SXM,493289.98331734614,571708.1955350633,129.0,134.0
SYC,419076.5155551191,539494.690101013,135.0,135.0
SYR,108478.67144875266,166187.6216087108,157.0,156.0
TGO,4283926.060307393,7961561.777434895,64.0,58.0
THA,16816489.920571893,30310491.82685952,34.0,27.0
TKM,43195.189997147536,48274.019390319416,170.0,172.0
TLS,110703.6702843391,136624.38590902725,156.0,158.0
TON,148137.43616369017,175499.1239072812,151.0,154.0
TTO,7654287.859842742,9686905.975292752,47.0,51.0
TUN,938483.0197958,1492337.3571275596,108.0,105.0
TUR,27242239.42083338,42501024.94606889,21.0,22.0
TUV,23127.695845633487,29428.4910461745,177.0,177.0
TWN,41978159.69517535,57890141.01115647,14.0,14.0
TZA,2698615.697835264,3649307.9274131805,77.0,80.0
UKR,1384130.9532341126,2217465.7304186695,90.0,90.0
URY,4334058.484383991,5892064.435968472,63.0,67.0
USA,216111317.94445083,310398634.1333371,3.0,3.0
VCT,58457.63857103916,68391.30050726449,165.0,166.0
VEN,3484948.6460022684,4593711.790962438,71.0,74.0
VGB,39516.21428368332,45232.60096276711,172.0,175.0
VIR,1026082.6450175026,1213108.7857614527,103.0,112.0
VNM,22554177.060002007,32883893.13650621,22.0,25.0
VUT,323853.83609643765,375677.33563244314,137.0,140.0
WLF,5890.453868210262,9989.07138883159,184.0,183.0
WSM,139949.453943333,185221.0043143351,152.0,149.0
YEM,540015.3494721628,736869.277721837,126.0,125.0
ZAF,37419812.59685059,47938026.36149054,15.0,17.0
